cast_id,character,credit_id,gender,id,name,order
242,Jake Sully,5602a8a7c3a3685532001c9a,2,65731,Sam Worthington,0
3,Neytiri,52fe48009251416c750ac9cb,1,8691,Zoe Saldana,1
25,Dr. Grace Augustine,52fe48009251416c750aca39,1,10205,Sigourney Weaver,2
4,Col. Quaritch,52fe48009251416c750ac9cf,2,32747,Stephen Lang,3
5,Trudy Chacon,52fe48009251416c750ac9d3,1,17647,Michelle Rodriguez,4
8,Selfridge,52fe48009251416c750ac9e1,2,1771,Giovanni Ribisi,5
7,Norm Spellman,52fe48009251416c750ac9dd,2,59231,Joel David Moore,6
9,Moat,52fe48009251416c750ac9e5,1,30485,CCH Pounder,7
11,Eytukan,52fe48009251416c750ac9ed,2,15853,Wes Studi,8
10,Tsu'Tey,52fe48009251416c750ac9e9,2,10964,Laz Alonso,9
12,Dr. Max Patel,52fe48009251416c750ac9f1,2,95697,Dileep Rao,10
13,Lyle Wainfleet,52fe48009251416c750ac9f5,2,98215,Matt Gerald,11
32,Private Fike,52fe48009251416c750aca5b,2,154153,Sean Anthony Moran,12
33,Cryo Vault Med Tech,52fe48009251416c750aca5f,2,397312,Jason Whyte,13
34,Venture Star Crew Chief,52fe48009251416c750aca63,2,42317,Scott Lawrence,14
35,Lock Up Trooper,52fe48009251416c750aca67,2,986734,Kelly Kilgour,15
36,Shuttle Pilot,52fe48009251416c750aca6b,0,1207227,James Patrick Pitt,16
37,Shuttle Co-Pilot,52fe48009251416c750aca6f,0,1180936,Sean Patrick Murphy,17
38,Shuttle Crew Chief,52fe48009251416c750aca73,2,1019578,Peter Dillon,18
39,Tractor Operator / Troupe,52fe48009251416c750aca77,0,91443,Kevin Dorman,19
40,Dragon Gunship Pilot,52fe48009251416c750aca7b,2,173391,Kelson Henderson,20
41,Dragon Gunship Gunner,52fe48009251416c750aca7f,0,1207236,David Van Horn,21
42,Dragon Gunship Navigator,52fe48009251416c750aca83,0,215913,Jacob Tomuri,22
43,Suit #1,52fe48009251416c750aca87,0,143206,Michael Blain-Rozgay,23
44,Suit #2,52fe48009251416c750aca8b,2,169676,Jon Curry,24
46,Ambient Room Tech,52fe48009251416c750aca8f,0,1048610,Luke Hawker,25
47,Ambient Room Tech / Troupe,52fe48009251416c750aca93,0,42288,Woody Schultz,26
48,Horse Clan Leader,52fe48009251416c750aca97,2,68278,Peter Mensah,27
49,Link Room Tech,52fe48009251416c750aca9b,0,1207247,Sonia Yee,28
50,Basketball Avatar / Troupe,52fe48009251416c750aca9f,1,1207248,Jahnel Curfman,29
51,Basketball Avatar,52fe48009251416c750acaa3,0,89714,Ilram Choi,30
52,Na'vi Child,52fe48009251416c750acaa7,0,1207249,Kyla Warren,31
53,Troupe,52fe48009251416c750acaab,0,1207250,Lisa Roumain,32
54,Troupe,52fe48009251416c750acaaf,1,83105,Debra Wilson,33
57,Troupe,52fe48009251416c750acabb,0,1207253,Chris Mala,34
55,Troupe,52fe48009251416c750acab3,0,1207251,Taylor Kibby,35
56,Troupe,52fe48009251416c750acab7,0,1207252,Jodie Landau,36
58,Troupe,52fe48009251416c750acabf,0,1207254,Julie Lamm,37
59,Troupe,52fe48009251416c750acac3,0,1207257,Cullen B. Madden,38
60,Troupe,52fe48009251416c750acac7,0,1207259,Joseph Brady Madden,39
61,Troupe,52fe48009251416c750acacb,0,1207262,Frankie Torres,40
62,Troupe,52fe48009251416c750acacf,1,1158600,Austin Wilson,41
63,Troupe,52fe48019251416c750acad3,1,983705,Sara Wilson,42
64,Troupe,52fe48019251416c750acad7,0,1207263,Tamica Washington-Miller,43
65,Op Center Staff,52fe48019251416c750acadb,1,1145098,Lucy Briant,44
66,Op Center Staff,52fe48019251416c750acadf,2,33305,Nathan Meister,45
67,Op Center Staff,52fe48019251416c750acae3,0,1207264,Gerry Blair,46
68,Op Center Staff,52fe48019251416c750acae7,2,33311,Matthew Chamberlain,47
69,Op Center Staff,52fe48019251416c750acaeb,0,1207265,Paul Yates,48
70,Op Center Duty Officer,52fe48019251416c750acaef,0,1207266,Wray Wilson,49
71,Op Center Staff,52fe48019251416c750acaf3,2,54492,James Gaylyn,50
72,Dancer,52fe48019251416c750acaf7,0,1207267,Melvin Leno Clark III,51
73,Dancer,52fe48019251416c750acafb,0,1207268,Carvon Futrell,52
74,Dancer,52fe48019251416c750acaff,0,1207269,Brandon Jelkes,53
75,Dancer,52fe48019251416c750acb03,0,1207270,Micah Moch,54
76,Dancer,52fe48019251416c750acb07,0,1207271,Hanniyah Muhammad,55
77,Dancer,52fe48019251416c750acb0b,0,1207272,Christopher Nolen,56
78,Dancer,52fe48019251416c750acb0f,0,1207273,Christa Oliver,57
79,Dancer,52fe48019251416c750acb13,0,1207274,April Marie Thomas,58
80,Dancer,52fe48019251416c750acb17,0,1207275,Bravita A. Threatt,59
81,Mining Chief (uncredited),52fe48019251416c750acb1b,0,1207276,Colin Bleasdale,60
82,Veteran Miner (uncredited),52fe48019251416c750acb1f,0,107969,Mike Bodnar,61
83,Richard (uncredited),52fe48019251416c750acb23,0,1207278,Matt Clayton,62
84,Nav'i (uncredited),52fe48019251416c750acb27,1,147898,Nicole Dionne,63
85,Trooper (uncredited),52fe48019251416c750acb2b,0,1207280,Jamie Harrison,64
86,Trooper (uncredited),52fe48019251416c750acb2f,0,1207281,Allan Henry,65
87,Ground Technician (uncredited),52fe48019251416c750acb33,2,1207282,Anthony Ingruber,66
88,Flight Crew Mechanic (uncredited),52fe48019251416c750acb37,0,1207283,Ashley Jeffery,67
14,Samson Pilot,52fe48009251416c750ac9f9,0,98216,Dean Knowsley,68
89,Trooper (uncredited),52fe48019251416c750acb3b,0,1201399,Joseph Mika-Hunt,69
90,Banshee (uncredited),52fe48019251416c750acb3f,0,236696,Terry Notary,70
91,Soldier (uncredited),52fe48019251416c750acb43,0,1207287,Kai Pantano,71
92,Blast Technician (uncredited),52fe48019251416c750acb47,0,1207288,Logan Pithyou,72
93,Vindum Raah (uncredited),52fe48019251416c750acb4b,0,1207289,Stuart Pollock,73
94,Hero (uncredited),52fe48019251416c750acb4f,0,584868,Raja,74
95,Ops Centreworker (uncredited),52fe48019251416c750acb53,0,1207290,Gareth Ruck,75
96,Engineer (uncredited),52fe48019251416c750acb57,0,1062463,Rhian Sheehan,76
